filename,version,sha512
Toolscreen.dll,1.0.0,9a5d9093b4a4d46f64c62aa9aabe65ff12af1ccf74492a9059604815aebe86aec989d28d81221525ecc4a5f2d677dc3e307a57257e772844cb84ccea8e55e1d9
liblogger_x64.dll,1.0.0,78506a655350b237b8b7fd7e65a59f92bd7f7d28c81417572eba76784c2b031cf2267306619a4ffdd0518b469f81ec98de28db0ef1f658bd034c1db5dbf63f50
